title,text
Little_Wing,Well she's walking through the clouds.
Little_Wing,With a circus mind that's running wild.
Little_Wing,Butterflies and zebras.
Little_Wing,And moonbeams and a fairy tale.
Little_Wing,That's all she ever thinks about.
Little_Wing,Riding the wind.
Little_Wing,When I'm sad she comes to me.
Little_Wing,With a thousand smiles she gives to me free.
Little_Wing,"It's alright she says, it's alright."
Little_Wing,Take anything you want from me Anything.
Little_Wing,Fly on little wing.
Little_Wing,"Yeah, yeah, yeah."
Little_Wing,Fly on little wing.
Mary_Had_A_Little_Lamb,Mary had a little lamb.
Mary_Had_A_Little_Lamb,His fleece was white as snow.
Mary_Had_A_Little_Lamb,Everywhere that child went.
Mary_Had_A_Little_Lamb,Your little lamb was sure to go.
Mary_Had_A_Little_Lamb,He followed her to school one day.
Mary_Had_A_Little_Lamb,And broke the teacher's rule.
Mary_Had_A_Little_Lamb,What a time did they have.
Mary_Had_A_Little_Lamb,That day at school.
Mary_Had_A_Little_Lamb,Tisket tasket baby.
Mary_Had_A_Little_Lamb,A green and yellow basket.
Mary_Had_A_Little_Lamb,Sent a letter to my baby.
Mary_Had_A_Little_Lamb,On my way I passed it.
Pride_And_Joy,Well you've heard about love givin' sight to the blind.
Pride_And_Joy,My baby's lovin' cause the sun to shine.
Pride_And_Joy,"She's my sweet little thang, she's my pride and joy."
Pride_And_Joy,"She's my sweet little baby, I'm her little lover boy."
Pride_And_Joy,"Yeah I love my baby, heart and soul."
Pride_And_Joy,Love like ours won't never grow old.
Pride_And_Joy,"She's my sweet little thang, she's my pride and joy."
Pride_And_Joy,"She's my sweet little baby, I'm her little lover boy."
Pride_And_Joy,"Yeah I love my lady, she's long and lean."
Pride_And_Joy,"You mess with her, you'll see a man get mean."
Pride_And_Joy,"She's my sweet little thang, she's my pride and joy."
Pride_And_Joy,"She's my sweet little baby, I'm her little lover boy."
Pride_And_Joy,"Well I love my baby, like the finest wine."
Pride_And_Joy,Stick with her until the end of time.
Pride_And_Joy,"She's my sweet little thang, she's my pride and joy."
Pride_And_Joy,"She's my sweet little baby, I'm her little lover boy."
Pride_And_Joy,"Yeah I love my baby, my heart and soul."
Pride_And_Joy,Love like ours won't never grow old.
Pride_And_Joy,"She's my sweet little thang, she's my pride and joy."
Pride_And_Joy,"She's my sweet little baby, I'm her little lover boy."
Texas_Flood,Well there's floodin' down in Texas.
Texas_Flood,All of the telephone lines are down.
Texas_Flood,Well there's floodin' down in Texas.
Texas_Flood,All of the telephone lines are down.
Texas_Flood,And I've been tryin' to call my baby.
Texas_Flood,Lord and I can't get a single sound.
Texas_Flood,Well dark clouds are rollin' in.
Texas_Flood,Man I'm standin' out in the rain.
Texas_Flood,Well dark clouds are rollin' in.
Texas_Flood,Man I'm standin' out in the rain.
Texas_Flood,Yeah flood water keep a rollin'.
Texas_Flood,Man it's about to drive poor me insane.
Texas_Flood,Well I'm leavin' you baby.
Texas_Flood,Lord and I'm goin' back home to stay.
Texas_Flood,Well I'm leavin' you baby.
Texas_Flood,Lord and I'm goin' back home to stay.
Texas_Flood,Well back home are no floods or tornados.
Texas_Flood,Baby and the sun shines every day.
Tin_Pan_Alley,Went down to Tin Pan Alley.
Tin_Pan_Alley,See what was going on.
Tin_Pan_Alley,Things was too hot down there.
Tin_Pan_Alley,Couldn't stay very long.
Tin_Pan_Alley,"Hey hey hey hey, Alley's the roughest place I've ever been."
Tin_Pan_Alley,"All the people down there Livin' for their whiskey, wine, and gin."
Tin_Pan_Alley,I heard a woman scream.
Tin_Pan_Alley,Yeah and I peeped through the door.
Tin_Pan_Alley,Some cat was workin' on Annie with a Lord with a two-by-four.
Tin_Pan_Alley,"Hey hey hey hey, Alley's the roughest place I've ever been."
Tin_Pan_Alley,All the people down there.
Tin_Pan_Alley,"Livin' for their whiskey, wine, and gin."
Tin_Pan_Alley,I heard a pistol shoot.
Tin_Pan_Alley,Yeah and it was a .44.
Tin_Pan_Alley,"Somebody killed a crap shooter cause he didn't Shake, rattle, and roll."
Tin_Pan_Alley,"Hey hey hey hey, Alley's the roughest place I've ever been."
Tin_Pan_Alley,All the people down there.
Tin_Pan_Alley,"Killin' for their whiskye, wine, and gin."
Tin_Pan_Alley,I saw a cop standing.
Tin_Pan_Alley,With his hand on his gun.
Tin_Pan_Alley,"He said ""this is a raid, boy Nobody run""."
Tin_Pan_Alley,"Hey hey hey hey, Alley's the roughest place I've ever been."
Tin_Pan_Alley,Yeah they took me away from Alley.
Tin_Pan_Alley,Lord they took me right back to the pen.
